,Country Name,Country Code,Total_Pop,Pop_Over_65,Urban_Pop,Life_Expectancy,Pop_Desity,GNI_Per_Capita,Health_Coverage_last,Social_Coverage_last,Hospital_beds_per_1000_last,Physician_per_1000_last,Vulnerable_emp_last
48,Burkina Faso,BFA,19751535.0,475416.0,5798656.0,60.768,72.19128289,670.0,2.186173571,4.280444122,0.4,0.06,86.40799713
49,Burundi,BDI,11175378.0,251104.0,1456375.0,60.898,435.178271,280.0,,,0.8,0.05,94.64800262
50,Cabo Verde,CPV,543767.0,25064.0,357429.0,72.57,134.9297767,3420.0,,,2.1,0.7694,28.77499938
51,Cambodia,KHM,16249798.0,742401.0,3800503.0,69.289,92.05641287,1390.0,1.86913899,3.085970529,0.8,0.1682,50.77499962
52,Cameroon,CMR,25216237.0,688120.0,14215401.0,58.511,53.34398891,1440.0,3.4081102519999997,5.013449196,1.3,0.0898,73.74600029
53,Canada,CAN,37058856.0,6385985.0,30169985.0,82.24897561,4.075308214,44940.0,,,2.7,2.6102,10.72899997
54,Caribbean small states,CSS,7358965.0,636430.0,3767742.0,73.51749249,18.17701618,9240.085673,,,2.267233925,1.568627565,29.03762519
55,Cayman Islands,CYM,64174.0,,64174.0,82.1902439,267.3916667,47140.0,,,,,
56,Central African Republic,CAF,4666377.0,131861.0,1930200.0,52.24,7.490412212000001,490.0,,,1.0,0.0629,93.6269989
57,Central Europe and the Baltics,CEB,102511922.0,18923822.0,63897809.0,77.03396591,92.76643663,14563.876080000002,,,6.421446661,2.8807160689999995,14.91333179
58,Chad,TCD,15477751.0,383929.0,3569015.0,53.711999999999996,12.29173364,670.0,2.477971792,2.9743689539999996,,0.0475,93.10099792
59,Channel Islands,CHI,170499.0,29492.0,52708.0,82.766,861.1060937999999,,,,,,10.17799991
60,Chile,CHL,18729160.0,2159435.0,16400002.0,79.90899999999999,25.18944607,14670.0,44.91270209,87.72247427,2.2,1.08,24.07000017
61,Colombia,COL,49648685.0,4209239.0,40105215.0,76.925,44.74870212,6180.0,9.270317658,65.6766814,1.5,2.0835,46.83599997
62,Comoros,COM,832322.0,25028.0,241082.0,63.912,447.2444775,1380.0,,,2.2,0.1699,64.66900158
63,"Congo, Dem. Rep.",COD,84068091.0,2537041.0,37376673.0,60.026,37.08259236,490.0,1.5996211169999999,11.057385,,0.09,79.69499779
64,"Congo, Rep.",COG,5244363.0,140639.0,3509318.0,63.95399999999999,15.35684627,1640.0,,,,0.1159,76.93700266
65,Costa Rica,CRI,4999441.0,477439.0,3966556.0,79.914,97.91306306,11520.0,15.58204891,66.63602779,1.2,1.1497,20.07799983
66,Cote d'Ivoire,CIV,25069229.0,716715.0,12729904.0,57.016999999999996,78.83405346,1600.0,7.922548506,32.862669800000006,,0.2326,72.35900021
67,Croatia,HRV,4089400.0,836096.0,2328791.0,77.82682927,73.077198,14000.0,57.51293013,70.71853665,5.6,2.9962,7.519999743
68,Cuba,CUB,11338138.0,1721834.0,8734561.0,78.66199999999999,108.9995962,7480.0,,,5.2,8.19,7.9880002139999995
69,Curacao,CUW,159849.0,26671.0,142497.0,78.01707317,360.7545045,19070.0,,,,,
70,Cyprus,CYP,1189265.0,163156.0,794548.0,80.672,128.7083333,26300.0,,,3.4,1.9511,11.10400039
71,Czech Republic,CZE,10625695.0,2063603.0,7840913.0,79.47560976,137.60288789999998,20240.0,,,6.5,4.314,13.90999991
72,Denmark,DNK,5797446.0,1148645.0,5094448.0,81.00487805,138.0673017,60140.0,,,2.5,4.4567,5.109000057
73,Djibouti,DJI,958920.0,43416.0,745819.0,65.893,41.36842105,3190.0,8.50192379,20.94194148,1.4,0.2203,47.27200079
74,Dominica,DMA,71625.0,,50483.0,,95.5,7090.0,,,3.8,1.0825,
75,Dominican Republic,DOM,10627165.0,752703.0,8615868.0,73.689,219.9785759,7760.0,6.485660222999999,34.53420087,1.6,1.56,40.22500098
76,Early-demographic dividend,EAR,3249140605.0,189028683.0,1466377985.0,70.2552611,98.13836364,3567.833761,,,1.225174072,0.940110841,58.27163603
77,East Asia & Pacific,EAS,2328220870.0,250129513.0,1374879347.0,75.86574762,95.43160553,10982.31252,,,4.443600487,1.5767725519999998,41.74509721
78,East Asia & Pacific (excluding high income),EAP,2081651801.0,197665493.0,1158097589.0,74.9949516,130.8104315,7600.548586,,,3.64740031,1.4761485,45.15415396
79,East Asia & Pacific (IDA & IBRD countries),TEA,2056064424.0,195280540.0,1142248481.0,75.03335890000001,130.185453,7680.525267,,,3.51424905,1.448642987,44.84784377
80,Ecuador,ECU,17084357.0,1222777.0,10903407.0,76.584,68.78868175,6110.0,10.93042144,72.57548089,1.5,2.05,46.12099934
81,"Egypt, Arab Rep.",EGY,98423595.0,5147337.0,42030812.0,71.656,98.87346929,2800.0,,,1.6,0.7902,21.33899975
82,El Salvador,SLV,6420744.0,532093.0,4624412.0,72.872,309.8814672,3820.0,6.156111357,58.09289859,1.3,1.569,36.07399988
83,Equatorial Guinea,GNQ,1308974.0,32173.0,944333.0,58.06100000000001,46.66573975,6840.0,,,2.1,0.4,55.8010006
84,Eritrea,ERI,3213972.0,131254.0,1149670.0,65.538,31.82150495,720.0,,,0.7,,78.19699859999999
85,Estonia,EST,1320884.0,259241.0,909825.0,77.64146341,30.38610536,21140.0,,,5.0,3.4651,5.504000082999999
