,Country Name,Country Code,Total_Pop,Pop_Over_65,Urban_Pop,Life_Expectancy,Pop_Desity,GNI_Per_Capita,Health_Coverage_last,Social_Coverage_last,Hospital_beds_per_1000_last,Physician_per_1000_last,Vulnerable_emp_last,Lat,Long,Confirmed,Deaths,Recovered,Deaths_Rate,Day_Change
25,Antigua and Barbuda,ATG,96286.0,8473.0,23685.0,76.752,218.8318182,15890.0,,,3.8,2.7647,,17.0608,-61.7964,25.0,3.0,19.0,0.11538461538461539,0.0
26,Armenia,ARM,2951776.0,332187.0,1864017.0,74.797,103.6802248,4230.0,54.75133382,66.76264983,4.2,2.899,40.21000099,40.0691,45.0382,3175.0,44.0,1267.0,0.013853904282115869,146.0
27,Austria,AUT,8847037.0,1681076.0,5157557.0,81.64146341,107.2069267,49310.0,,,7.6,5.1441,7.6660000089999984,47.5162,14.5501,15833.0,615.0,13928.0,0.038840469874952634,59.0
28,Azerbaijan,AZE,9942334.0,615946.0,5535892.0,72.693,120.2653199,4050.0,50.61209719,64.6436151,4.7,3.4466,55.03899956,40.1431,47.5769,2422.0,31.0,1620.0,0.012794056954189021,143.0
29,"Bahamas, The",BHS,385640.0,27988.0,320178.0,73.554,38.52547453,30520.0,,,2.9,1.9373,9.94900009,25.0343,-77.3963,92.0,11.0,37.0,0.11827956989247312,0.0
30,Bahrain,BHR,1569439.0,38080.0,1401305.0,77.032,2017.2737,21890.0,,,2.0,0.9257,1.047999978,26.0275,50.55,4774.0,8.0,2055.0,0.001675392670157068,330.0
31,Bangladesh,BGD,161356039.0,8323375.0,59107944.0,72.05199999999998,1239.5793119999996,1750.0,1.498691912,17.77090749,0.8,0.5268,55.49200153,23.685,90.3563,13770.0,214.0,2414.0,0.015539902694067242,636.0
32,Barbados,BRB,286641.0,45297.0,89280.0,78.98100000000002,666.6069767000001,15410.0,,,5.8,2.4886,15.77499981,13.1939,-59.5432,84.0,7.0,57.0,0.08235294117647059,1.0
33,Belarus,BLR,9485386.0,1408120.0,7455039.0,74.12926829,46.7287999,5670.0,49.98794948,76.35101137,11.0,4.0772,3.4609999210000004,53.7098,27.9534,22052.0,126.0,6050.0,0.005713508366208679,951.0
34,Belgium,BEL,11422068.0,2146063.0,11193741.0,81.43902439,377.2149273,45910.0,,,6.2,3.3234,10.20100009,50.8333,4.0,52596.0,8581.0,13411.0,0.16314618704488848,585.0
35,Belize,BLZ,383071.0,18144.0,175155.0,74.365,16.79399386,4470.0,,,1.3,1.1262,27.11899996,13.1939,-59.5432,18.0,2.0,16.0,0.10526315789473684,0.0
36,Benin,BEN,11485048.0,373678.0,5433806.0,61.174,101.8539198,870.0,,,0.5,0.1572,87.96699715,9.3077,2.3158,284.0,2.0,62.0,0.007017543859649123,42.0
37,Bhutan,BTN,754394.0,45286.0,308509.0,71.12899999999998,19.77752777,2970.0,0.712240916,2.916979848,1.7,0.3715,71.35299873,27.5142,90.4336,7.0,0.0,5.0,0.0,0.0
38,Bolivia,BOL,11353142.0,816512.0,7881919.0,70.945,10.48014585,3370.0,7.770635024,78.19620111,1.1,1.6111,58.09999847,-16.2902,-63.5887,2437.0,114.0,258.0,0.04675963904840033,171.0
39,Bosnia and Herzegovina,BIH,3323929.0,547462.0,1603630.0,77.128,64.92048828,5740.0,40.1629567,50.34959309,3.5,2.0003,19.26999998,43.9159,17.6791,2090.0,102.0,1059.0,0.04878048780487805,20.0
40,Botswana,BWA,2254126.0,95211.0,1565400.0,68.812,3.977424876,7750.0,,,1.8,0.3688,25.3029995,-22.3285,24.6849,23.0,1.0,12.0,0.041666666666666664,0.0
41,Brunei Darussalam,BRN,428962.0,20904.0,332999.0,75.585,81.39696395,29660.0,,,2.7,1.7701,6.019999862000001,4.5353,114.7277,141.0,1.0,132.0,0.007042253521126761,0.0
42,Bulgaria,BGR,7024216.0,1476625.0,5268724.0,74.81219512,64.70353721,8860.0,,,6.8,3.9879,8.223000169,42.7339,25.4858,1921.0,90.0,422.0,0.046826222684703434,49.0
43,Burkina Faso,BFA,19751535.0,475416.0,5798656.0,60.768,72.19128289,670.0,2.186173571,4.280444122,0.4,0.06,86.40799713,12.2383,-1.5616,748.0,48.0,569.0,0.06408544726301736,4.0
44,Burundi,BDI,11175378.0,251104.0,1456375.0,60.898,435.178271,280.0,,,0.8,0.05,94.64800262,-3.3731,29.9189,15.0,1.0,7.0,0.0625,0.0
45,Cabo Verde,CPV,543767.0,25064.0,357429.0,72.57,134.9297767,3420.0,,,2.1,0.7694,28.77499938,16.5388,-23.0418,236.0,2.0,56.0,0.008438818565400843,6.0
46,Cambodia,KHM,16249798.0,742401.0,3800503.0,69.289,92.05641287,1390.0,1.86913899,3.085970529,0.8,0.1682,50.77499962,11.55,104.9167,122.0,0.0,120.0,0.0,0.0
47,Cameroon,CMR,25216237.0,688120.0,14215401.0,58.511,53.34398891,1440.0,3.408110252,5.013449196,1.3,0.0898,73.74600029,3.848,11.5021,2274.0,108.0,1232.0,0.047472527472527476,7.0
48,Canada,CAN,37058856.0,6385985.0,30169985.0,82.24897561,4.075308214,44940.0,,,2.7,2.6102,10.72899997,44.78404666666667,-82.50859333333332,4594.533333333334,321.53333333333336,31262.0,0.05508053413385728,82.93333333333334
49,Central African Republic,CAF,4666377.0,131861.0,1930200.0,52.24,7.490412212000001,490.0,,,1.0,0.0629,93.6269989,6.6111,20.9394,143.0,0.0,10.0,0.0,0.0
50,Chad,TCD,15477751.0,383929.0,3569015.0,53.712,12.29173364,670.0,2.477971792,2.974368954,,0.0475,93.10099792,15.4542,18.7322,322.0,31.0,53.0,0.09597523219814241,62.0
51,Chile,CHL,18729160.0,2159435.0,16400002.0,79.90899999999998,25.18944607,14670.0,44.91270209,87.72247427,2.2,1.08,24.07000017,-35.6751,-71.543,27219.0,304.0,12667.0,0.011168258633357825,1247.0
52,Colombia,COL,49648685.0,4209239.0,40105215.0,76.925,44.74870212,6180.0,9.270317658,65.6766814,1.5,2.0835,46.83599997,4.5709,-74.2973,10495.0,445.0,2569.0,0.042397103658536585,444.0
53,Comoros,COM,832322.0,25028.0,241082.0,63.912,447.2444775,1380.0,,,2.2,0.1699,64.66900158,-11.6455,43.3333,11.0,1.0,0.0,0.08333333333333333,3.0
54,"Congo, Dem. Rep.",COD,84068091.0,2537041.0,37376673.0,60.026,37.08259236,490.0,1.599621117,11.057385,,0.09,79.69499779,-4.0383,21.7587,274.0,10.0,33.0,0.03636363636363636,0.0
55,"Congo, Rep.",COG,5244363.0,140639.0,3509318.0,63.95399999999999,15.35684627,1640.0,,,,0.1159,76.93700266,-4.0383,21.7587,937.0,39.0,130.0,0.04157782515991471,0.0
56,Costa Rica,CRI,4999441.0,477439.0,3966556.0,79.914,97.91306306,11520.0,15.58204891,66.63602779,1.2,1.1497,20.07799983,9.7489,-83.7534,780.0,6.0,480.0,0.0076824583866837385,7.0
57,Cote d'Ivoire,CIV,25069229.0,716715.0,12729904.0,57.017,78.83405346,1600.0,7.922548506,32.862669800000006,,0.2326,72.35900021,7.54,-5.5471,1667.0,21.0,769.0,0.012589928057553957,65.0
58,Croatia,HRV,4089400.0,836096.0,2328791.0,77.82682927,73.077198,14000.0,57.51293013,70.71853665,5.6,2.9962,7.519999743,45.1,15.2,2176.0,87.0,1726.0,0.0399632521819017,15.0
59,Cuba,CUB,11338138.0,1721834.0,8734561.0,78.66199999999998,108.9995962,7480.0,,,5.2,8.19,7.988000213999999,22.0,-80.0,1754.0,74.0,1140.0,0.042165242165242166,13.0
60,Cyprus,CYP,1189265.0,163156.0,794548.0,80.672,128.7083333,26300.0,,,3.4,1.9511,11.10400039,35.1264,33.4299,892.0,15.0,401.0,0.0167973124300112,1.0
