,UID,iso2,iso3,code3,FIPS,county,Province_State,Country_Region,Lat,Long_,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20
1144,84022053,US,USA,840,22053,Jefferson Davis,Louisiana,US,30.26896765,-92.81210004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,4,1,-5,4,8,4,3,2,2,3,9,3,0,1,0,4,1,2,0,2,0,0,0,2,0,2,0,1,0,1,1,0,1,0,1,0,0,1
1145,84022055,US,USA,840,22055,Lafayette,Louisiana,US,30.2049055,-92.06959876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,3,3,8,10,14,4,2,32,36,41,88,29,-47,18,13,12,13,18,27,7,17,6,3,12,12,9,18,5,4,6,6,4,1,2,1,0,3,5,4,8,1,2,2,5,4,2,2,17
1146,84022057,US,USA,840,22057,Lafourche,Louisiana,US,29.52470226,-90.40976986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,6,0,4,1,2,10,2,4,2,15,23,31,53,27,32,11,77,17,33,38,33,28,14,13,5,13,29,14,18,6,7,3,7,20,4,3,14,8,3,16,0,10,5,3,12,5,6,1,5,8
1147,84022059,US,USA,840,22059,LaSalle,Louisiana,US,31.67884782,-92.15907765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,1,0,1,1,2,0,0,0,0,0,0,1,0,1,0,2,1,1,2,0,1,1,3,0,0,1,0,2,1,1,2
1148,84022061,US,USA,840,22061,Lincoln,Louisiana,US,32.6003154,-92.66597409999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,-1,1,1,4,1,0,4,0,1,1,3,2,4,5,4,2,0,3,-1,2,4,2,0,2,1,6,4,2,5,3,7,1,3,2,0,3,2,4,2,3,2,2,3
1149,84022063,US,USA,840,22063,Livingston,Louisiana,US,30.44143993,-90.73061664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,5,0,1,3,1,7,2,8,7,24,3,12,15,5,4,4,2,11,2,7,4,3,6,2,4,1,9,3,4,7,5,5,1,2,5,7,32,6,3,5,4,19,2,0,9
1150,84022065,US,USA,840,22065,Madison,Louisiana,US,32.36918118,-91.23973355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4
1151,84022067,US,USA,840,22067,Morehouse,Louisiana,US,32.81686191,-91.80421614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1,0,0,0,0,0,2,3,2,1,5,5,3,1,3,4,0,1,0,0,2,0,1,2,1,1,2,4,1,0,0,2,0,3,1,0,2,1,0,0,0,2,0,3
1152,84022069,US,USA,840,22069,Natchitoches,Louisiana,US,31.72321584,-93.09816516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,9,-1,8,2,1,2,6,0,8,0,1,0,3,5,3,4,1,0,4,0,3,8,0,4,0,2,5,2,1,0,3,0,1,0,1,6
1153,84022071,US,USA,840,22071,Orleans,Louisiana,US,30.06971951,-89.92660315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,27,13,13,57,51,44,95,92,33,116,108,152,170,173,128,52,130,354,436,878,328,490,100,499,377,128,172,174,119,65,51,67,51,78,59,47,47,148,21,40,54,23,11,45,23,15,40,32,43,29,14,19,18,33,18,19,29
1154,84022073,US,USA,840,22073,Ouachita,Louisiana,US,32.47645559,-92.15704172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,-2,3,9,6,9,7,3,13,23,14,20,62,6,48,34,11,25,26,24,17,17,3,24,18,41,13,28,7,14,20,27,19,11,13,23,6,20,35,24,25,15,15,8,13,8,6,16
1155,84022075,US,USA,840,22075,Plaquemines,Louisiana,US,29.42245447,-89.60322085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,1,4,3,3,1,2,15,10,21,7,11,6,8,15,8,6,1,6,1,3,2,5,2,3,4,1,7,0,0,1,1,2,0,0,0,4,5,2,1,0,1,0,2,2,0,4
1156,84022077,US,USA,840,22077,Pointe Coupee,Louisiana,US,30.71409502,-91.60209535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,5,1,3,1,7,2,1,5,6,2,3,4,2,4,7,2,2,5,2,9,4,2,2,1,0,5,4,0,1,5,-3,2,5,6,3,3,5,1
1157,84022079,US,USA,840,22079,Rapides,Louisiana,US,31.19778499,-92.52997303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,6,2,4,11,1,11,4,3,14,11,8,4,16,3,10,19,6,13,8,3,6,3,7,4,13,4,5,9,0,3,4,3,8,11,8,2,6,4,6,5,3,8,19,8,8,0,22,13
1158,84022081,US,USA,840,22081,Red River,Louisiana,US,32.09530039,-93.34213308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,1,1,0,2,3,1,1,1,0,1,0,0,0,0,0,1,1,1,4,3,0,1,1,0,0,0,2
